FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.75bf2641-a569-30c0-90a9-a45c40cd262f,-52.721,-15.657,2019-09-19T17:35:00,AQUA_M-T,BARRA DO GARÇAS,MATO GROSSO,Brasil,POINT (-15.657 -52.721)
focos_ams_ontem_hoje_ref.75c0c860-5cc2-302d-a77a-4c08fd645fca,-52.036,-3.94,2019-09-20T16:45:00,AQUA_M-T,SENADOR JOSÉ PORFÍRIO,PARÁ,Brasil,POINT (-3.94 -52.036)
focos_ams_ontem_hoje_ref.75cf7a44-a189-3d9b-a3e5-693b2ad7f14b,-67.993,-12.927,2019-09-20T18:20:00,AQUA_M-T,Abel Iturralde,La Paz,Bolivia,POINT (-12.927 -67.993)
focos_ams_ontem_hoje_ref.75d4b5af-ddb7-3662-95dd-304b119b35bf,-58.574,-18.041,2019-09-19T17:35:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-18.041 -58.574)
focos_ams_ontem_hoje_ref.75d8c984-5d7d-32c4-985a-7d30c91554b0,-48.658,-4.291,2019-09-20T16:45:00,AQUA_M-T,RONDON DO PARÁ,PARÁ,Brasil,POINT (-4.291 -48.658)
focos_ams_ontem_hoje_ref.75dab425-8444-3072-92a5-8246914b89e8,-68.819,-35.086,2019-09-20T18:15:00,AQUA_M-T,San Rafael,Mendoza,Argentina,POINT (-35.086 -68.819)
focos_ams_ontem_hoje_ref.75dc8f48-3890-3da0-aaad-7658abef4928,-57.724,-9.458,2019-09-19T17:40:00,AQUA_M-T,APIACÁS,MATO GROSSO,Brasil,POINT (-9.458 -57.724)
focos_ams_ontem_hoje_ref.75f1c3fa-bad5-387f-8b23-f8390eaeec7c,-45.963,-15.952,2019-09-20T16:40:00,AQUA_M-T,ARINOS,MINAS GERAIS,Brasil,POINT (-15.952 -45.963)
focos_ams_ontem_hoje_ref.7601d674-8371-3313-a14e-f0ebf426eb65,-49.896,-18.348,2019-09-19T17:35:00,AQUA_M-T,ITUMBIARA,GOIÁS,Brasil,POINT (-18.348 -49.896)
focos_ams_ontem_hoje_ref.761d9395-392b-3dc6-8a96-95cad8cb5a73,-57.982,-20.383,2019-09-19T17:35:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,POINT (-20.383 -57.982)
