FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.00eeeee1-99c1-33c1-ac69-1f9f1760f38a,-44.452,-8.176,2019-09-20T16:45:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,POINT (-8.176 -44.452)
focos_ams_hoje_ref.00f5f1bd-3a4e-31af-9372-bfb7dc749f72,-54.335,-12.002,2019-09-20T16:45:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.002 -54.335)
focos_ams_hoje_ref.00ff7d7a-2e90-31d3-8962-c32d6d721092,-46.396,-9.396,2019-09-20T16:45:00,AQUA_M-T,ALTO PARNAÍBA,MARANHÃO,Brasil,POINT (-9.396 -46.396)
focos_ams_hoje_ref.010b4500-1e2d-343b-acb5-74d41defd017,-48.067,-20.076,2019-09-20T16:40:00,AQUA_M-T,ÁGUA COMPRIDA,MINAS GERAIS,Brasil,POINT (-20.076 -48.067)
focos_ams_hoje_ref.010c1d95-a88b-33f7-b046-12ffe55c638f,-45.884,-10.086,2019-09-20T16:45:00,AQUA_M-T,ALTO PARNAÍBA,MARANHÃO,Brasil,POINT (-10.086 -45.884)
focos_ams_hoje_ref.0110802f-a628-3bd1-a19c-d0c073451253,-46.604,-18.775,2019-09-20T16:40:00,AQUA_M-T,PATOS DE MINAS,MINAS GERAIS,Brasil,POINT (-18.775 -46.604)
focos_ams_hoje_ref.011aadd1-f03e-3280-b0aa-b24560b0c8be,-50.37,-3.119,2019-09-20T16:45:00,AQUA_M-T,PORTEL,PARÁ,Brasil,POINT (-3.119 -50.37)
focos_ams_hoje_ref.0132882b-0174-3f2c-8fd0-b9b0ef7dfd76,-46.069,-9.358,2019-09-20T16:45:00,AQUA_M-T,ALTO PARNAÍBA,MARANHÃO,Brasil,POINT (-9.358 -46.069)
focos_ams_hoje_ref.016ddb60-5206-3b8c-9bac-bc7cac090ba7,-45.267,-5.729,2019-09-20T16:45:00,AQUA_M-T,BARRA DO CORDA,MARANHÃO,Brasil,POINT (-5.729 -45.267)
focos_ams_hoje_ref.019b55a7-c8e7-354d-b31a-5ac26df5cba7,-53.014,-15.642,2019-09-20T16:40:00,AQUA_M-T,GENERAL CARNEIRO,MATO GROSSO,Brasil,POINT (-15.642 -53.014)
focos_ams_hoje_ref.01a50c66-8d51-369d-95f9-77f4d48e3239,-71.167,-8.82,2019-09-20T18:25:00,AQUA_M-T,FEIJÓ,ACRE,Brasil,POINT (-8.82 -71.167)
